post_id,post_date,event_date,post_title,record_type,seq_no,time_raw,time_start,time_end,place_raw,place_primary,venue_raw,march_raw,march_start,march_end,march_waypoints,is_pre_march,parent_seq_no,event_name,personnel_raw,personnel_count,control_time_raw,control_section_raw,control_method_raw,crowd_focus_points,parse_ok,source_url
smpa-00338023,2026.7.3,2026.7.6,오늘의 집회 260706 월,assembly,2,08:30~18:30,8:30,18:30,한화 본사 앞 <장교동>,한화 본사 앞 <장교동>,,,,,,FALSE,,,100명,100,,,,한화 본사 앞 <장교동>,TRUE,https://www.smpa.go.kr/user/nd54882.do?View&page=1&pageSC=SORT_ORDER&pageSO=DESC&dmlType=&boardNo=00338023
smpa-00338023,2026.7.3,2026.7.6,오늘의 집회 260706 월,assembly,3,10:00~19:30,10:00,19:30,상계보람아파트 앞 인도 <상계동>,상계보람아파트 앞 인도 <상계동>,,,,,,FALSE,,,100명,100,,,,상계보람아파트 앞 인도 <상계동>,TRUE,https://www.smpa.go.kr/user/nd54882.do?View&page=1&pageSC=SORT_ORDER&pageSO=DESC&dmlType=&boardNo=00338023
smpa-00338023,2026.7.3,2026.7.6,오늘의 집회 260706 월,assembly,4,16:30~17:30,16:30,17:30,연세빌딩 앞 <남대문로>,연세빌딩 앞 <남대문로>,,,,,,FALSE,,,60명,60,,,,연세빌딩 앞 <남대문로>,TRUE,https://www.smpa.go.kr/user/nd54882.do?View&page=1&pageSC=SORT_ORDER&pageSO=DESC&dmlType=&boardNo=00338023
1967,2026.7.5,2026.7.5,7월 05일 (일) 행사 및 집회,assembly,1,11:00∼13:00,11:00,13:00,동화면세점 앞(인도),동화면세점 앞(인도),,,,,,FALSE,,,"10,000명",10000,,,,동화면세점 앞(인도),TRUE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=1967
1967,2026.7.5,2026.7.5,7월 05일 (일) 행사 및 집회,assembly,2,18:00∼20:00,18:00,20:00,"파고다타워⇄강남역 ※행진:파고다타워→우성아파트→강남역→신논현역→ 파고다타워 (19:00出, 2.4km, 2개차로)",파고다타워,,"※행진:파고다타워→우성아파트→강남역→신논현역→ 파고다타워 (19:00出, 2.4km, 2개차로)",파고다타워,파고다타워,우성아파트|강남역|신논현역,FALSE,,,500명,500,,,,파고다타워;우성아파트;강남역;신논현역,TRUE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=1967
1967,2026.7.5,2026.7.5,7월 05일 (일) 행사 및 집회,assembly,3,09:30∼11:00,9:30,11:00,평강제일교회 앞,평강제일교회 앞,,,,,,FALSE,,,"1,000명",1000,,,,평강제일교회 앞,TRUE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=1967
1967,2026.7.5,2026.7.5,7월 05일 (일) 행사 및 집회,assembly,4,09:30∼11:00,9:30,11:00,평강제일교회 앞 좌측 공터,평강제일교회 앞 좌측 공터,,,,,,FALSE,,,"1,000명",1000,,,,평강제일교회 앞 좌측 공터,TRUE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=1967
1965,2026.7.4,2026.7.4,7월 04일 (토) 행사 및 집회,assembly,1,14:00∼15:30,14:00,15:30,태평교차로∼숭례문(편도 全차로),태평교차로∼숭례문(편도 全차로),,,,,,FALSE,,,"11,000명",11000,,,,태평교차로∼숭례문(편도 全차로),TRUE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=1965
1965,2026.7.4,2026.7.4,7월 04일 (토) 행사 및 집회,pre_march,,12:30∼13:30,12:30,13:30,"사랑채 동측 건너편(2개차로)→태평교차로 ※행진:사랑채 동측→광화문→세종대로사거리→숭례문(13:00出, 2.3km, 1개차로)",사랑채 동측 건너편(2개차로),,"※행진:사랑채 동측→광화문→세종대로사거리→숭례문(13:00出, 2.3km, 1개차로)",사랑채 동측,숭례문,광화문|세종대로사거리,TRUE,1,,"50,000명",50000,,,,사랑채 동측 건너편(2개차로);사랑채 동측;광화문;세종대로사거리;숭례문,TRUE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=1965
1965,2026.7.4,2026.7.4,7월 04일 (토) 행사 및 집회,assembly,2,13:00∼15:00,13:00,15:00,"광교∼을지로1가(편도 全차로)→경복궁역 6出 ※행진:을지로1가→종로1가→세종대로사거리→광화문→경복궁역 6出 (14:00出, 1.5km, 3개차로)",광교∼을지로1가(편도 全차로),,※행진:을지로1가→종로1가→세종대로사거리→광화문→경복궁역 6出,을지로1가,경복궁역 6出,종로1가|세종대로사거리|광화문,FALSE,,,"10,000명",10000,,,,광교∼을지로1가(편도 全차로);을지로1가;종로1가;세종대로사거리;광화문;경복궁역 6出,TRUE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=1965
1965,2026.7.4,2026.7.4,7월 04일 (토) 행사 및 집회,pre_march,,10:30∼12:30,10:30,12:30,"서울고용청 앞(1개차로)→을지로1가 ※행진:서울고용청→청계남로→을지로1가(12:00出, 1km, 1개차로)",서울고용청 앞(1개차로),,"※행진:서울고용청→청계남로→을지로1가(12:00出, 1km, 1개차로)",서울고용청,을지로1가,청계남로,TRUE,2,,,,,,,서울고용청 앞(1개차로);서울고용청;청계남로;을지로1가,TRUE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=1965
1965,2026.7.4,2026.7.4,7월 04일 (토) 행사 및 집회,assembly,3,12:30∼16:00,12:30,16:00,"동화면세점∼원표공원(1개차로)→舊효자파출소 ※행진:동화면세점→세종대로사거리→광화문→경복궁역→신교교차로→舊효자파출소(15:00出, 2km, 2개차로)",동화면세점∼원표공원(1개차로),,"※행진:동화면세점→세종대로사거리→광화문→경복궁역→신교교차로→舊효자파출소(15:00出, 2km, 2개차로)",동화면세점,舊효자파출소,세종대로사거리|광화문|경복궁역|신교교차로,FALSE,,,"50,000명",50000,,,,동화면세점∼원표공원(1개차로);동화면세점;세종대로사거리;광화문;경복궁역;신교교차로;舊효자파출소,TRUE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=1965
1965,2026.7.4,2026.7.4,7월 04일 (토) 행사 및 집회,assembly,4,17:00∼20:00,17:00,20:00,동화면세점∼원표공원(1개차로),동화면세점∼원표공원(1개차로),,,,,,FALSE,,,"3,000명",3000,,,,동화면세점∼원표공원(1개차로),TRUE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=1965
1965,2026.7.4,2026.7.4,7월 04일 (토) 행사 및 집회,assembly,5,14:00∼19:00,14:00,19:00,"신촌역 2出∼신촌 유플렉스(2개차로)⇄서교동교차로 ※행진:신촌역 2出⇄홍대입구역⇄서교동교차로(16:00出, 5km, 2개차로)",신촌역 2出∼신촌 유플렉스(2개차로),,"※행진:신촌역 2出⇄홍대입구역⇄서교동교차로(16:00出, 5km, 2개차로)",신촌역 2出,서교동교차로,홍대입구역,FALSE,,,"3,000명",3000,,,,신촌역 2出∼신촌 유플렉스(2개차로);신촌역 2出;홍대입구역;서교동교차로,TRUE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=1965
1965,2026.7.4,2026.7.4,7월 04일 (토) 행사 및 집회,assembly,6,18:30∼20:30,18:30,20:30,"․홍대입구역 7出(인도)⇄홍대입구교차로 ※행진:홍대입구역 7出→홍대입구역 3出→홍대입구교차로→홍대입구역 7出 (18:40出, 2.4km, 1개차로, 2회 왕복)",․홍대입구역 7出(인도),,"※행진:홍대입구역 7出→홍대입구역 3出→홍대입구교차로→홍대입구역 7出 (18:40出, 2.4km, 1개차로, 2회 왕복)",홍대입구역 7出,홍대입구역 7出,홍대입구역 3出|홍대입구교차로,FALSE,,,,,,,,․홍대입구역 7出(인도);홍대입구역 7出;홍대입구역 3出;홍대입구교차로,TRUE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=1965
1965,2026.7.4,2026.7.4,7월 04일 (토) 행사 및 집회,assembly,7,18:00~21:00,18:00,21:00,서초역 8出 ※ 행진 : 서초역 8出→교대역→강남역→강남CGV(2개차로),서초역 8出,,※ 행진 : 서초역 8出→교대역→강남역→강남CGV(2개차로),서초역 8出,강남CGV,교대역|강남역,FALSE,,,"5,000명",5000,,,,서초역 8出;교대역;강남역;강남CGV,TRUE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=1965
1963,2026.7.3,2026.7.3,7월 03일 (금) 행사 및 집회,assembly,1,08:40∼09:00,8:40,9:00,시의회 앞(인도),시의회 앞(인도),,,,,,FALSE,,,,,,,,시의회 앞(인도),TRUE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=1963
1963,2026.7.3,2026.7.3,7월 03일 (금) 행사 및 집회,assembly,2,15:00∼16:00,15:00,16:00,시의회 앞(인도),시의회 앞(인도),,,,,,FALSE,,,,,,,,시의회 앞(인도),TRUE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=1963
1963,2026.7.3,2026.7.3,7월 03일 (금) 행사 및 집회,assembly,3,16:00∼17:00,16:00,17:00,현대모비스 본사 앞(1개차로),현대모비스 본사 앞(1개차로),,,,,,FALSE,,,500명,500,,,,현대모비스 본사 앞(1개차로),TRUE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=1963
smpa-00337981,2026.7.2,2026.7.3,오늘의 집회 260703 금,assembly,1,08:30~18:30,8:30,18:30,한화 본사 앞 <장교동>,한화 본사 앞 <장교동>,,,,,,FALSE,,,100명,100,,,,한화 본사 앞 <장교동>,TRUE,https://www.smpa.go.kr/user/nd54882.do?View&page=2&pageSC=SORT_ORDER&pageSO=DESC&dmlType=&boardNo=00337981
smpa-00337981,2026.7.2,2026.7.3,오늘의 집회 260703 금,assembly,2,09:00~11:00,9:00,11:00,강서구청 앞 <화곡동>,강서구청 앞 <화곡동>,,,,,,FALSE,,,50명,50,,,,강서구청 앞 <화곡동>,TRUE,https://www.smpa.go.kr/user/nd54882.do?View&page=2&pageSC=SORT_ORDER&pageSO=DESC&dmlType=&boardNo=00337981
smpa-00337981,2026.7.2,2026.7.3,오늘의 집회 260703 금,assembly,4,18:30~19:30,18:30,19:30,세종호텔 앞 <명동>,세종호텔 앞 <명동>,,,,,,FALSE,,,200명,200,,,,세종호텔 앞 <명동>,TRUE,https://www.smpa.go.kr/user/nd54882.do?View&page=2&pageSC=SORT_ORDER&pageSO=DESC&dmlType=&boardNo=00337981
1961,2026.7.2,2026.7.2,7월 02일 (목) 행사 및 집회,assembly,1,08:00∼09:30,8:00,9:30,1호선 시청역 승강장 內→서울역,1호선 시청역 승강장 內,,,1호선 시청역 승강장 內,서울역,,FALSE,,,,,,,,1호선 시청역 승강장 內;서울역,TRUE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=1961
1961,2026.7.2,2026.7.2,7월 02일 (목) 행사 및 집회,assembly,2,10:00∼12:00,10:00,12:00,한국재정정보원 앞 (2개차로),한국재정정보원 앞 (2개차로),,,,,,FALSE,,,"3,000명",3000,,,,한국재정정보원 앞 (2개차로),TRUE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=1961
smpa-00337892,2026.7.1,2026.7.2,오늘의 집회 260702 목,assembly,1,10:00~11:00,10:00,11:00,평강제일교회 앞 <오류동>,평강제일교회 앞 <오류동>,,,,,,FALSE,,,500명,500,,,,평강제일교회 앞 <오류동>,TRUE,https://www.smpa.go.kr/user/nd54882.do?View&page=2&pageSC=SORT_ORDER&pageSO=DESC&dmlType=&boardNo=00337892
smpa-00337892,2026.7.1,2026.7.2,오늘의 집회 260702 목,assembly,3,14:00~15:00,14:00,15:00,거여역 1·2出 -> 남인순 의원 사무소 <거여동>,거여역 1·2出 -> 남인순 의원 사무소 <거여동>,,,,,,FALSE,,,200명,200,,,,거여역 1·2出 -> 남인순 의원 사무소 <거여동>,TRUE,https://www.smpa.go.kr/user/nd54882.do?View&page=2&pageSC=SORT_ORDER&pageSO=DESC&dmlType=&boardNo=00337892
smpa-00337892,2026.7.1,2026.7.2,오늘의 집회 260702 목,assembly,4,15:30~17:00,15:30,17:00,시의회 -> 감사의정원 <세종로 등>,시의회 -> 감사의정원 <세종로 등>,,,,,,FALSE,,,100명,100,,,,시의회 -> 감사의정원 <세종로 등>,TRUE,https://www.smpa.go.kr/user/nd54882.do?View&page=2&pageSC=SORT_ORDER&pageSO=DESC&dmlType=&boardNo=00337892
smpa-00338392,2026.7.14,2026.7.15,오늘의 집회 260715 수,assembly,1,13:00~13:30,13:00,13:30,고용노동청 -> 동화면세점 <장교동 등>,고용노동청 -> 동화면세점 <장교동 등>,,,,,,FALSE,,,400명,400,,,,고용노동청 -> 동화면세점 <장교동 등>,TRUE,https://www.smpa.go.kr/user/nd54882.do?View&page=1&pageSC=SORT_ORDER&pageSO=DESC&dmlType=&boardNo=00338392
smpa-00338392,2026.7.14,2026.7.15,오늘의 집회 260715 수,assembly,4,15:00~17:00,15:00,17:00,동화면세점 -> 사랑채 동측 건너편 <세종로 등>,동화면세점 -> 사랑채 동측 건너편 <세종로 등>,,,,,,FALSE,,,"10,000명",10000,,,,동화면세점 -> 사랑채 동측 건너편 <세종로 등>,TRUE,https://www.smpa.go.kr/user/nd54882.do?View&page=1&pageSC=SORT_ORDER&pageSO=DESC&dmlType=&boardNo=00338392
smpa-00338367,2026.7.13,2026.7.14,오늘의 집회 260714 화,assembly,1,07:00~16:00,7:00,16:00,서울동부지검 앞 <문정동>,서울동부지검 앞 <문정동>,,,,,,FALSE,,,500명,500,,,,서울동부지검 앞 <문정동>,TRUE,https://www.smpa.go.kr/user/nd54882.do?View&page=1&pageSC=SORT_ORDER&pageSO=DESC&dmlType=&boardNo=00338367
smpa-00338367,2026.7.13,2026.7.14,오늘의 집회 260714 화,assembly,2,08:00~15:00,8:00,15:00,두산건설 앞 <논현동>,두산건설 앞 <논현동>,,,,,,FALSE,,,100명,100,,,,두산건설 앞 <논현동>,TRUE,https://www.smpa.go.kr/user/nd54882.do?View&page=1&pageSC=SORT_ORDER&pageSO=DESC&dmlType=&boardNo=00338367
smpa-00338367,2026.7.13,2026.7.14,오늘의 집회 260714 화,assembly,3,14:00~17:00,14:00,17:00,동작구청 1G 앞 인도 <상도동>,동작구청 1G 앞 인도 <상도동>,,,,,,FALSE,,,150명,150,,,,동작구청 1G 앞 인도 <상도동>,TRUE,https://www.smpa.go.kr/user/nd54882.do?View&page=1&pageSC=SORT_ORDER&pageSO=DESC&dmlType=&boardNo=00338367
smpa-00338367,2026.7.13,2026.7.14,오늘의 집회 260714 화,assembly,4,16:00~00:00,16:00,0:00,삼성화재 서초사옥 앞 <서초동>,삼성화재 서초사옥 앞 <서초동>,,,,,,FALSE,,,250명,250,,,,삼성화재 서초사옥 앞 <서초동>,TRUE,https://www.smpa.go.kr/user/nd54882.do?View&page=1&pageSC=SORT_ORDER&pageSO=DESC&dmlType=&boardNo=00338367
2005,2026.7.13,2026.7.13,7월 13일 (월) 행사 및 집회,assembly,1,①08:40∼09:00 ②15:00∼16:00,8:40,9:00,시의회 앞(인도),시의회 앞(인도),,,,,,FALSE,,,,,,,,시의회 앞(인도),TRUE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=2005
2005,2026.7.13,2026.7.13,7월 13일 (월) 행사 및 집회,assembly,2,13:00∼,13:00,,정곡빌딩 남관 앞(1개차로),정곡빌딩 남관 앞(1개차로),,,,,,FALSE,,,"5,000명",5000,,,,정곡빌딩 남관 앞(1개차로),TRUE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=2005
smpa-00338319,2026.7.10,2026.7.13,오늘의 집회 260713 월,assembly,1,09:00~18:00,9:00,18:00,디에이치 방배 앞 인도 <방배동>,디에이치 방배 앞 인도 <방배동>,,,,,,FALSE,,,290명,290,,,,디에이치 방배 앞 인도 <방배동>,TRUE,https://www.smpa.go.kr/user/nd54882.do?View&page=1&pageSC=SORT_ORDER&pageSO=DESC&dmlType=&boardNo=00338319
smpa-00338319,2026.7.10,2026.7.13,오늘의 집회 260713 월,assembly,3,16:00~17:30,16:00,17:30,현대모비스 앞 <역삼동>,현대모비스 앞 <역삼동>,,,,,,FALSE,,,60명,60,,,,현대모비스 앞 <역삼동>,TRUE,https://www.smpa.go.kr/user/nd54882.do?View&page=1&pageSC=SORT_ORDER&pageSO=DESC&dmlType=&boardNo=00338319
smpa-00338319,2026.7.10,2026.7.13,오늘의 집회 260713 월,assembly,4,16:30~18:00,16:30,18:00,금감원 앞 <여의도>,금감원 앞 <여의도>,,,,,,FALSE,,,99명,99,,,,금감원 앞 <여의도>,TRUE,https://www.smpa.go.kr/user/nd54882.do?View&page=1&pageSC=SORT_ORDER&pageSO=DESC&dmlType=&boardNo=00338319
2003,2026.7.12,2026.7.12,7월 12일 (일) 행사 및 집회,assembly,1,11:00∼13:00,11:00,13:00,종로구 동화면세점 앞(인도),종로구 동화면세점 앞(인도),,,,,,FALSE,,,"10,000명",10000,,,,종로구 동화면세점 앞(인도),TRUE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=2003
2003,2026.7.12,2026.7.12,7월 12일 (일) 행사 및 집회,assembly,2,12:30∼14:00,12:30,14:00,청와대 사랑채 동측 건너편(1개차로),청와대 사랑채 동측 건너편(1개차로),,,,,,FALSE,,,,,,,,청와대 사랑채 동측 건너편(1개차로),TRUE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=2003
2003,2026.7.12,2026.7.12,7월 12일 (일) 행사 및 집회,assembly,3,18:00∼20:00,18:00,20:00,"서초동 파고다타워(2개차로)⇄강남역 ※행진:서초동파고다타워→우성아파트→강남역→신논현역→서초동파고다타워(19:00出, 2.4km, 2개차로)",서초동 파고다타워(2개차로),,"※행진:서초동파고다타워→우성아파트→강남역→신논현역→서초동파고다타워(19:00出, 2.4km, 2개차로)",서초동파고다타워,서초동파고다타워,우성아파트|강남역|신논현역,FALSE,,,500명,500,,,,서초동 파고다타워(2개차로);서초동파고다타워;우성아파트;강남역;신논현역,TRUE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=2003
2003,2026.7.12,2026.7.12,7월 12일 (일) 행사 및 집회,assembly,4,09:30∼11:00,9:30,11:00,오류동 평강제일교회 앞,오류동 평강제일교회 앞,,,,,,FALSE,,,"1,000명",1000,,,,오류동 평강제일교회 앞,TRUE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=2003
2003,2026.7.12,2026.7.12,7월 12일 (일) 행사 및 집회,assembly,5,09:30∼11:00,9:30,11:00,오류동 평강제일교회 앞 좌측 공터,오류동 평강제일교회 앞 좌측 공터,,,,,,FALSE,,,"1,000명",1000,,,,오류동 평강제일교회 앞 좌측 공터,TRUE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=2003
2003,2026.7.12,2026.7.12,7월 12일 (일) 행사 및 집회,event,,26.7.12.(일) 07:00~09:00,7:00,9:00,여의도공원1문(여의대로)→마포대교 북단→여의도공원1문(여의대로),여의도공원1문(여의대로),,※행진:여의도공원1문(여의대로)→마포대교 북단→여의도공원1문(여의대로),여의도공원1문(여의대로),여의도공원1문(여의대로),마포대교 북단,FALSE,,2026 서울시 쉬엄쉬엄 모닝,,,05:00~10:00(5h),공원1문~마포대교 북단,,여의도공원1문(여의대로);마포대교 북단,TRUE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=2003
2001,2026.7.11,2026.7.11,7월 11일 (토) 행사 및 집회,assembly,1,13:30∼15:30,13:30,15:30,시청역8번출구~숭례문교차로 (편도 전차로),시청역8번출구~숭례문교차로 (편도 전차로),,,,,,FALSE,,,"20,000명",20000,,,,시청역8번출구~숭례문교차로 (편도 전차로),TRUE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=2001
2001,2026.7.11,2026.7.11,7월 11일 (토) 행사 및 집회,assembly,2,"12:30∼16:00 종로구 동화면세점∼원표공원(인도)→구.효자파출소 ※행진:동화면세점→세종대로사거리→광화문삼거리→경복궁역→신교동교차로→구.효자파출소 (15:00출발, 2km, 2개차로)",12:30,16:00,행진,행진,,,,,,FALSE,,,"50,000명",50000,,,,행진,TRUE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=2001
