noft_ocrn_dt,crtr_ymd,noft_se_cd,noft_se_nm,noft_ttl,noft_cn,nonstop_yn,upbdnb_se,xcse_sitn_bgng_dt,xcse_sitn_end_dt,line_nm_lst,stn_sctn_cd_lst
2020-04-14T16:47:27,20200414,3,열차사고,철도공사 구간 열차 탈선 사고 복구 완료,"철도공사 1호선 영등포역 열차 탈선 사고는 16:30경 복구 완료되어 정상 운행 합니다.
-서울교통공사 종합관제단 04-14 16:46:49",N,,,,1호선,1006
2020-05-07T17:02:00,20200507,5,단순지연,7호선 열차지연,"7호선 태릉입구역 상하선 구간 신호장애 발생으로 도봉산/부평구청역방면 상하선 열차 지연운행중입니다
열차 이용에 불편을 드려 대단히 죄송합니다. 05-07 17:01:09",N,"상행, 하행",,,7호선,2719
2020-05-07T17:14:52,20200507,6,기타,7호선 정상운행,"7호선 태릉입구역 상하선구간 신호장애는 조치완료되어 상하선 열차 정상운행중입니다.
열차 이용에 불편을 드려 죄송합니다. 05-07 17:01:09 05-07 17:14:01",N,"상행, 하행",,,7호선,2719
2020-05-24T05:29:19,20200524,6,기타,5호선 열차 일부구간 운행취소,"5호선 발산역 차량선로 이탈의 신속한 복구와 안전확보를 위하여 방화역에서 화곡역까지 열차운행이 일시 중단되고 있습니다. 화곡역부터 상일,마천구간은 정상운행 중이며, 방화역에서 화곡역까지 셔틀버스(6 대)가 운행되니 이용에 참고하시기 바랍니다. 열차이용에 불편을 드려 대단히 죄송합니다. -서울교통공사 종합관제단
 05-24 05:28:20",N,,,,5호선,"2511, 2512, 2513, 2514, 2515, 2516, 2517, 2518"
2020-05-24T06:05:51,20200524,6,기타,5호선 방화역에서 화곡역 구간 셔틀버스 정차위치 알림,"방화방면 승차위치
화곡역 1번 출구, 우장산역 1번 출구, 발산역 9번 출구
마곡역 1번 출구, 송정역 1번 출구, 김포공항역 1번 출구
개화산역 2번 출구

화곡방면 승차위치
방화역 2번 출구, 개화산역 2번 출구, 김포공항역 1번 출구
송정역 4번 출구, 마곡역 6번출구, 발산역 7번 출구, 
우장산역 3번출구, 화곡역 8번 출구,
셔틀버스 이용에 참고하시기 바랍니다.
-서울교통공사 종합관제단 05-24 06:04:53",N,,,,,
2020-05-24T07:09:42,20200524,6,기타,5호선 방화역에서 화곡역 구간 셔틀버스 정차위치 수정알림,"방화방면 승차위치
화곡역 1번 출구, 우장산역 1번 출구, 발산역 9번 출구
마곡역 1번 출구, 송정역 1번 출구, 김포공항역 1번 출구
개화산역 2번 출구

화곡방면 승차위치
방화역 3번 출구, 개화산역 2번 출구, 김포공항역 1번 출구
송정역 4번 출구, 마곡역 6번출구, 발산역 7번 출구, 
우장산역 3번출구, 화곡역 8번 출구,
셔틀버스 이용에 참고하시기 바랍니다.
-서울교통공사 종합관제단
 05-24 07:08:43",N,,,,,
2020-05-24T12:55:49,20200524,6,기타,5호선 전구간 열차 정상운행,"5호선 발산역 차량선로 이탈은 복구완료하여 12:50경 현재 5호선 방화역에서 상일동, 마천역 전 구간 열차 정상운행중입니다.  열차이용에 불편을 드려 대단히 죄송합니다. -서울교통공사 종합관제단
 05-24 12:54:50",N,,,,5호선,전구간
2020-05-30T13:26:00,20200530,2,차량고장,5호선 차량고장,"5호선 방화행 제5562열차가 발산역에서 차량고장으로 조치가 지연되어 방화방면 열차가 지연운행 되고 있습니다.
-서울교통공사 종합관제단
  05-30 13:24:58",N,,,,5호선,2516
2020-05-30T13:43:09,20200530,5,단순지연,5호선 열차 지연 조치완료,"5호선 방화행 제5562열차 차량고장은 조치완료되어 5호선 전구간 열차정상운행 중입니다. 열차운행에 불편을 드려 대단히 죄송합니다.-서울교통공사 종합관제단
  05-30 13:42:08",N,,,,5호선,전구간
2020-06-11T11:21:02,20200611,3,열차사고,4호선 열차 추돌,6. 11.(목) 10:43경 4호선 상계역에서 열차 추돌로 당고개~노원역 간 열차 운행 중단 및 노원역 이하 구간 열차 지연 운행 중입니다. 바쁘신 고객께서는 타교통을 이용 바랍니다. 열차이용에 불편을 드려 대단히 죄송합니다. -서울교통공사 종합관제단 06-11 11:19:54,Y,,,,4호선,"0409, 0410, 0411"
2020-06-11T11:39:44,20200611,6,기타,4호선 열차 이용 안내,6. 11.(목) 10:43경 4호선 상계역에서 열차 추돌로 당고개~노원역 간은 열차 운행 중단으로 셔틀버스 운영중이며 및 노원역 이하 사당방면은 열차 운행중입니다. 이용에 불편을 드려 대단히 죄송합니다. -서울교통공사 종합관제단  06-11 11:38:37,Y,,,,4호선,"0409, 0410, 0411"
2020-06-11T16:06:51,20200611,6,기타,4호선 전구간 열차 정상운행,4호선 상계역 열차 사고는 복구완료하여 16:00 현재 4호선 전 구간 열차 정상운행중입니다. 열차이용에 불편을 드려 대단히 죄송합니다. -서울교통공사 종합관제단 06-11 16:05:43,N,,,,4호선,전구간
2020-06-24T17:16:19,20200624,5,단순지연,5호선 방화방면 열차지연,"5호선 방화행 제5630열차가 마장역에서 차량고장으로 조치가 지연되어 방화방면 열차가 지연운행 되고 있습니다.-서울교통공사 종합관제단
  06-24 17:15:05",N,,,,5호선,2542
2020-06-24T17:33:55,20200624,6,기타,5호선 방화행 정상운행,"5호선 마장역 방화행 열차고장은 조치 완료되어 열차 정상 운행중입니다. 열차지연으로 이용에 불편을 드려 대단히 죄송합니다.
-서울교통공사 종합관제단 06-24 17:32:41",N,,,,5호선,2542
2020-08-07T08:11:22,20200807,6,기타,오전 러시아워 30분 연장,"금일 출근 시간대 지하철 혼잡도 완화를 위하여 오전 러시아워 30분 연장운행함을 알려드립니다. 열차 이용에 참고하시기 바랍니다.
-서울교통공사 종합관제단 08-07 08:09:45",N,,,,,
2020-08-07T08:31:15,20200807,6,기타,오전오후 러시아워 30분 연장,"고객 여러분께 안내말씀 드립니다. 8.6(목) 11시 서울지역 홍수주의보 발령으로 하천 인근 도로를 통제 중입니다. 고객 불편을 해소하고자 8.7(금)부터 홍수주의보 해제시까지 출퇴근 집중 배차시간을 30분 연장(07시~09시30분, 18시~20시30분)하여 36회 증편운행하오니 이용에 참고하시기 바랍니다. 08-07 08:29:39",N,,,,,
2020-08-15T19:53:29,20200815,1,화재,3호선 종로3가역 대합실 연기발생으로 무정차 통과 중,3호선 종로3가역 대합실에서 연기발생으로 관계직원 및 119출동하여 조치중으로 종로3가역 양방향 열차 무정차 통과중입니다. 열차이용에 불편을 드려 대한히 죄송합니다. -서울교통공사 종합관제단- 08-15 19:51:49,Y,"상행, 하행",,,3호선,0319
2020-08-15T20:28:44,20200815,6,기타,3호선 종로3가역 열차 정상운행,"3호선 종로3가역 대합실에서 연기발생은 환기실에서 발생된것으로 조치완료되어 열차 정상운행,  열차이용에 불편을 드려 대한히 죄송합니다. -서울교통공사 종합관제단- 08-15 19:51:49 08-15 20:27:03",N,,,,3호선,0319
2020-09-21T13:07:01,20200921,4,시설장애,7호선 시운전 열차 시설물 장애로 분할운전 시행,9월21일(월) 12:24경 발생한 7호선 시운전 열차 시설물 장애로 분할운전 시행중(건대입구역에서 청담역간은 운행중지)이니 이구간을 이용하시는 분께서는 다른 교통편을 이용해 주시기 바랍니다. 열차이용에 불편을 드려 죄송합니다. 09-21 13:05:02,N,,,,7호선,"2729, 2730, 2731"
2020-09-21T13:43:54,20200921,6,기타,7호선 정상운행,9월21일(월) 12:24경 발생한 7호선 청담역 시설물 장애는 조치완료 되어(13:05경) 지금 현재 7호선 전열차 정상운행 중입니다. 열차이용에 불편을 드려 죄송합니다. 09-21 13:41:56,N,,,,7호선,2731
2020-10-01T09:00:00,20201001,6,기타,개천절 집회 무정차 통과 사전 안내,"개천절 도심 집회로 승객 안전사고 및 코로나19 재확산 우려가 있어, 정부 및 서울시 요청에 따라 광화문역, 경복궁역, 시청역(1,2호선), 종각역, 안국역 무정차 통과가 실시 될 수 있습니다. 코로나19로부터 시민의 건강과 안전을 지키기 위한 조치이오니 양해 부탁드립니다. -서울교통공사- 10-01 09:00:00",Y,,2020-10-01T09:00:00,,"1호선, 2호선","0152, 0151, 0201"
2020-10-02T17:32:38,20201002,6,기타,개천절 집회 무정차 통과 사전 안내,"개천절 도심 집회로 승객 안전사고 및 코로나19 재확산 우려가 있어, 정부 및 서울시 요청에 따라 광화문역, 경복궁역, 시청역(1,2호선), 종각역, 안국역 무정차 통과가 실시 될 수 있습니다. 코로나19로부터 시민의 건강과 안전을 지키기 위한 조치이오니 양해 부탁드립니다. -서울교통공사- 10-02 17:30:33",Y,,2020-10-02T17:32:38,,"1호선, 2호선","0152, 0151, 0201"
2020-10-03T09:00:00,20201003,6,기타,개천절 집회 무정차 통과 사전 안내,"개천절 도심 집회로 승객 안전사고 및 코로나19 재확산 우려가 있어, 정부 및 서울시 요청에 따라 광화문역, 경복궁역, 시청역(1,2호선), 종각역, 안국역 무정차 통과가 실시 될 수 있습니다. 코로나19로부터 시민의 건강과 안전을 지키기 위한 조치이오니 양해 부탁드립니다. -서울교통공사-  10-03 09:00:00",Y,,2020-10-03T09:00:00,,"1호선, 2호선","0152, 0151, 0201"
2020-10-03T09:16:32,20201003,6,기타,5호선 광화문역 무정차 운행,"개천절 도심 집회로 승객 안전사고 및 코로나19 재확산 우려가 있어, 정부 및 서울시 요청에 따라 09:10부터 광화문역(5호선)은 무정차 통과중이며, 09:30부터 시청역(1,2호선), 경복궁역(3호선)역은 무정차 통과 예정입니다. 코로나 19로부터 시민의 건강과 안전을 지키기 위한 조치이오니 양해 부탁드립니다. -서울교통공사- 10-03 09:14:27",Y,,,,"1호선, 2호선, 3호선, 5호선",2534
2020-10-03T16:38:24,20201003,6,기타,열차 정상운행 예정,"개천절 도심 집회관련 시청역(1,2호선), 경복궁역(3호선), 광화문역(5호선)역 무정차 통과는 17:00부터 전호선 정상운행 예정입니다. -서울교통공사- 10-03 16:36:19",Y,,,2020-10-03T17:00:00,"1호선, 2호선, 3호선, 5호선","0151, 0201, 2534, 0317"
2020-10-03T17:00:00,20201003,6,기타,열차 정상운행,"개천절 도심 집회관련 시청역(1,2호선), 경복궁역(3호선), 광화문역(5호선)역 무정차 통과는 17:00부터 정상운행 합니다. -서울교통공사- 10-03 17:00:00",Y,,,2020-10-03T17:00:00,"1호선, 2호선, 3호선, 5호선","0151, 0201, 2534, 0317"
2020-10-06T17:45:29,20201006,6,기타,5호선 마포역 무정차 통과,"5호선 마포역 인근 건물 화재발생으로 마포역사내 연기가 유입되어 5호선 상하선 열차가 무정차 통과하고 있습니다.
열차 이용에 불편을 드려 죄송합니다
-서울교통공사 종합관제단 10-06 17:43:23",Y,"상행, 하행",,,5호선,2529
2020-10-06T18:16:47,20201006,6,기타,5호선 마포역 무정차 통과,"5호선 마포역 인접 건물 화재발생으로 인한 역사내 연기유입으로 5호선 마포역 상하선 열차 무정차 통과중입니다.
화재는 진압 완료되었으나 지하1층 대합실 냄새발생 등 시민의 안전을 위하여 열차가 무정차 통과중임을 양해바랍니다.
열차 이용에 불편을 드려 죄송합니다.
-서울교통공사 종합관제단 10-06 18:14:40",Y,"상행, 하행",,,5호선,2529
2020-10-08T18:03:16,20201008,6,기타,한글날 집회 관련 무정차 사전 안내,"한글날 도심 집회로 승객 안전사고 및 코로나19 재확산 우려가 있어, 경찰 등 유관기관의 요청에 따라 광화문역, 경복궁역, 시청역(1,2호선) 무정차 통과가 될 수 있습니다. 코로나19로부터 시민의 건강과 안전을 지키기 위한 조치이오니 양해 부탁드립니다. -서울교통공사-  10-08 18:01:09",Y,,2020-10-08T18:03:16,,"1호선, 2호선","0151, 0201"
2020-10-09T08:00:00,20201009,6,기타,한글날 무정차 통과 사전 안내,"한글날 도심 집회로 승객 안전사고 및 코로나19 재확산 우려가 있어, 경찰 등 유관기관의 요청에 따라 광화문역, 경복궁역, 시청역(1,2호선) 무정차 통과가 실시될 수 있습니다. 코로나19로부터 시민의 건강과 안전을 지키기 위한 조치이오니 양해 부탁드립니다. -서울교통공사- 10-09 08:00:00",Y,,2020-10-09T08:00:00,,"1호선, 2호선","0151, 0201"
2020-10-30T08:40:39,20201030,5,단순지연,7호선 열차 지연,7호선 철산역~광명사거리역 구간 도봉산역 방면 열차고장으로 지연운행중 입니다. 이용에 불편을 드려 죄송합니다. -서울교통공사 종합관제단 10-30 08:38:20,N,,,,7호선,"2749, 2750"
2020-10-30T08:57:10,20201030,6,기타,7호선 정상운행,7호선 철산역~광명사거리역 구간 도봉산역 방면 열차고장은 조치가 완료되어 현재 정상운행중 입니다. -서울교통공사 종합관제단 10-30 08:54:52,N,,,,7호선,"2749, 2750"
2020-11-13T09:55:15,20201113,2,차량고장,1호선 서울역 철도공사 차량고장,1호선 서울역 상선 철도공사 차량고장으로 현재 조치 중입니다. 열차 이용에 불편을 드려 대단히 죄송합니다. -서울교통공사 종합관제단 11-13 09:52:50,N,상행,,,1호선,0150
2020-11-13T10:20:55,20201113,2,차량고장,1호선 서울역 철도공사 차량고장,"1호선 서울역 상선 철도공사 차량고장 조치 중으로 지연운행 되고 있습니다. 바쁘신 고객 께서는 타교통을 이용 바랍니다. 열차 이용에 불편을 드려 대단히 죄송합니다. -서울교통공사 종합관제단
  11-13 10:18:29",N,상행,,,1호선,0150
2020-11-13T10:34:40,20201113,6,기타,"서울역~청량리역 간 상,하선 운행 중단","1호선 서울역 철도공사 차량고장으로 서울역~청량리역 간 상,하선 운행 중단 되었습니다. 고객 여러분께서는 타교통 수단을 이용해 주시기 바랍니다. 열차 이용에 불편을 드려 대단히 죄송합니다. -서울교통공사 종합관제단
 11-13 10:32:15",Y,"상행, 하행",,,1호선,0150
2020-11-13T10:50:22,20201113,6,기타,"용산역~광운대역 간 상,하선 운행 중단","1호선 용산역~광운대역 간 상,하선 운행 중단 되었습니다. 고객 여러분께서는 타교통 수단을 이용해 주시기 바랍니다. 열차 이용에 불편을 드려 대단히 죄송합니다. -서울교통공사 종합관제단 11-13 10:47:57",Y,"상행, 하행",,,1호선,"1003, 1002, 0150, 0151, 0152, 0153, 0154, 0155, 0159, 0156, 0157, 0158, 1015, 1016, 1017, 1018, 1019"
2020-11-13T11:32:19,20201113,6,기타,1호선 하선 열차 운행재개,"1호선 하선 열차 운행재개 하오니, 열차이용에 참고 하시기 바랍니다. -서울교통공사 종합관제단 11-13 11:29:54",N,하행,,,1호선,
2020-11-13T12:11:05,20201113,6,기타,1호선 전구간 정상운행,1호선 전구간 열차운행 재개 되었습니다. 불편을 드려 대단히 죄송합니다. -서울교통공사 종합관제단 11-13 12:08:39,N,,,,1호선,전구간
2021-01-07T07:57:42,20210107,2,차량고장,코레일 구간 차량고장,"1.7.(목) 07:25경 코레일 구간 경원선 외대앞역 상선 코레일 열차고장으로 1호선 상선 서울역~청량리역 간 열차 지연 중입니다.
열차 이용에 불편을 드려 대단히 죄송합니다.  01-07 07:54:48",N,상행,,,1호선,"0150, 0151, 0152, 0153, 0154, 0155, 0159, 0156, 0157, 0158"
2021-01-07T08:18:13,20210107,6,기타,1호선 구간 정상운행,1호선 코레일 구간 열차운행 재개 되었습니다. 불편을 드려 대단히 죄송합니다. -서울교통공사 종합관제단 01-07 08:15:20,N,,,,1호선,
2021-01-07T08:25:09,20210107,2,차량고장,4호선 차량고장,"4호선 길음역 상선 당고개행 차량고장(전차선 단전 동반)으로 조치 중 입니다.
열차이용에 불편을 드려 대단히 죄송합니다.  01-07 08:22:16",N,상행,,,4호선,0417
2021-01-07T08:29:51,20210107,2,차량고장,4호선 차량고장 조치완료,"4호선 길음역 상선 당고개행 차량고장은 조치완료 되었으나, 현재 열차지연 운행 중입니다.
 
열차이용에 불편을 드려 대단히 죄송합니다. 01-07 08:26:57",N,상행,,,4호선,0417
2021-01-07T08:38:49,20210107,2,차량고장,4호선 차량고장,"4호선 길음역 상선 당고개행 차량고장으로 구원 연결 조치 중입니다. 
열차이용에 불편을 드려 대단히 죄송합니다. 01-07 08:26:57 01-07 08:35:56",N,상행,,,4호선,0417
2021-01-07T08:52:53,20210107,6,기타,4호선 열차 정상운행,"4호선 상선 열차운행 재개되었습니다. 열차이용에 불편을 드려 대단히 죄송합니다.

- 서울교통공사 종합관제단 - 01-07 08:50:00",N,상행,,,4호선,
2021-01-12T16:47:06,20210112,6,기타,서울지역 대설주의보 발령으로 퇴근시간 연장운행,고객 여러분께 안내말씀 드립니다. 1. 12.(화) 15시40분 서울지역 대설주의보 발령으로 고객 불편을 해소하고자 퇴근시 30분 연장운행(18시~20시30분)하오니 이용에 참고하시기 바랍니다.-서울교통공사 종합관제단 01-12 16:44:10,N,,,,,
2021-01-12T17:16:40,20210112,6,기타,제설대책 2단계 발령 증회 연장운행 시행,고객 여러분께 안내말씀 드립니다. 1. 12.(화) 15시40분 제설대책 2단계 발령에 따라 1~8호선 증회 연장운행(18시~22시)하오니 이용에 참고하시기 바랍니다.-서울교통공사 종합관제단 01-12 17:13:44,N,,,,"1호선, 2호선, 3호선, 4호선, 5호선, 6호선, 7호선, 8호선",
2021-01-22T14:50:11,20210122,5,단순지연,장애인 단체 시위로 열차지연,"4호선 서울역 상선 제4598열차 및 승강장에서 현재 장애인 단체 시위로 당고개행 열차가 지연운행되고 있습니다. 열차이용에 불편을 드려 대단히 죄송합니다.-서울교통공사 종합관제단
  01-22 14:47:10",N,상행,,,4호선,0426
2021-01-22T14:56:55,20210122,5,단순지연,장애인 단체 시위로 열차지연(최종),"4호선 서울역 상선 장애인 단체 시위는 종료되어 열차 정상운행(14:47) 중입니다. 열차이용에 불편을 드려 대단히 죄송합니다.-서울교통공사 종합관제단
 01-22 14:53:54",N,상행,,,4호선,0426
2021-01-28T19:50:19,20210128,6,기타,구로디지털단지역 상부 천장 마감재 처짐 작업,"강풍으로 2호선 구로디지털단지역 외선 전차선 상부 천장 마감재 처짐 발생으로 안전운행을 위해 현재 제거 작업 조치 중 입니다.(운행중단 구간 대림역~봉천역)
열차이용에 불편을 드려 대단히 죄송합니다. 01-28 19:47:15",Y,외선,,,2호선,"0233, 0232, 0231, 0230, 0229"
2021-01-28T20:03:20,20210128,6,기타,2호선 열차 정상운행(작업 조치 완료),"강풍으로 2호선 구로디지털단지역 외선 전차선 상부 천장 마감재 처짐 발생은 조치 완료되어 열차 정상운행 중입니다.
열차 안전운행에 협조해 주신 고객여러분께 감사드립니다. 01-28 20:00:16",N,외선,,,2호선,0232
2021-02-10T10:00:00,20210210,6,기타,4호선 하선 열차(당고개역~서울역) 장애인단체 시위 관련 사전안내,"서울교통공사에서 알려드립니다.
오늘 오후 2시부터 4호선 당고개역에서 서울역까지 장애인단체에서 휠체어로 지하철타기 시위가 있을 예정입니다.
이에 따라 4호선 당고개역에서 서울역간 열차운행이 상당시간 지연될 수 있사오니 이점 참고하시어 열차를 이용하여 주시기 바랍니다.",N,,,,4호선,"0409, 0410, 0411, 0412, 0413, 0414, 0415, 0416, 0417, 0418, 0419, 0420, 0421, 0422, 0423, 0424, 0425, 0426"
2021-02-10T10:10:40,20210210,6,기타,4호선 하선 열차(당고개역~서울역) 장애인단체 시위 관련 사전안내,"서울교통공사에서 알려드립니다.
오늘 오후 2시부터 4호선 당고개역에서 서울역까지 장애인단체에서 휠체어로 지하철타기 시위가 있을 예정입니다.
이에 따라 4호선 당고개역에서 서울역간 열차운행이 상당시간 지연될 수 있사오니 이점 참고하시어 열차를 이용하여 주시기 바랍니다.",N,,,,4호선,"0409, 0410, 0411, 0412, 0413, 0414, 0415, 0416, 0417, 0418, 0419, 0420, 0421, 0422, 0423, 0424, 0425, 0426"
2021-02-10T10:12:08,20210210,6,기타,4호선 장애인단체 열차시위 사전예고,"오늘 14시부터 4호선 당고개역에서 서울역까지 장애인단체에서 휠체어로 지하철 타기 시위가 있을 예정입니다.
이에 따라 4호선 당고개역에서 서울역 간 열차 운행이 상당시간 지연될 수 있사오니 이점 참고하시어 열차를 이용하여 주시기 바랍니다.-서울교통공사 종합관제단 02-10 10:08:58",N,,,,4호선,"0409, 0410, 0411, 0412, 0413, 0414, 0415, 0416, 0417, 0418, 0419, 0420, 0421, 0422, 0423, 0424, 0425, 0426"
2021-02-10T11:45:42,20210210,6,기타,4호선 하선 열차(당고개역~서울역) 장애인단체 시위 관련 사전안내,"오늘 오후 2시부터 4호선 당고개역에서 서울역까지 장애인단체에서 휠체어로 지하철타기 시위가 있을 예정입니다.
이에 따라 4호선 당고개역에서 서울역간 열차운행이 상당시간 지연될 수 있사오니 이점 참고하시어 열차를 이용하여 주시기 바랍니다.",N,,,,4호선,"0409, 0410, 0411, 0412, 0413, 0414, 0415, 0416, 0417, 0418, 0419, 0420, 0421, 0422, 0423, 0424, 0425, 0426"
2021-02-10T13:53:47,20210210,6,기타,4호선 하선 열차(당고개역~서울역) 장애인단체 시위 관련 사전안내,"오늘 오후 2시부터 4호선 당고개역에서 서울역까지 장애인단체에서 휠체어로 지하철타기 시위가 있을 예정입니다.
이에 따라 4호선 당고개역에서 서울역간 열차운행이 상당시간 지연될 수 있사오니 이점 참고하시어 열차를 이용하여 주시기 바랍니다.",N,,,,4호선,"0409, 0410, 0411, 0412, 0413, 0414, 0415, 0416, 0417, 0418, 0419, 0420, 0421, 0422, 0423, 0424, 0425, 0426"
2021-02-10T15:26:07,20210210,6,기타,4호선 장애인 단체 열차시위 중,4호선 당고개역에서 서울역까지 장애인 단체에서 &apos;휠체어로 지하철 타기&apos; 시위로 인하여 4호선 당고개역에서 서울역 간 열차 운행이 상당시간 지연되고 있사오니 이점 참고하시어 열차를 이용하여 주시기 바랍니다. - 서울교통공사 종합관제단  02-10 15:22:57,N,,,,4호선,"0409, 0410, 0411, 0412, 0413, 0414, 0415, 0416, 0417, 0418, 0419, 0420, 0421, 0422, 0423, 0424, 0425, 0426"
2021-02-10T15:32:18,20210210,5,단순지연,장애인 단체 시위로 인한 4호선 열차지연,현재 4호선 당고개역에서 서울역까지 장애인 단체의 &apos;휠체어로 지하철 타기&apos; 시위로 인하여 열차 운행이 상당시간 지연되고 있습니다. 열차 이용에 불편을 드려 대단히 죄송합니다. - 서울교통공사 종합관제단 02-10 15:29:07,N,,,,4호선,"0409, 0410, 0411, 0412, 0413, 0414, 0415, 0416, 0417, 0418, 0419, 0420, 0421, 0422, 0423, 0424, 0425, 0426"
2021-02-10T15:36:26,20210210,5,단순지연,장애인 단체 시위로 인한 4호선 열차지연,현재 4호선 당고개역에서 서울역까지 장애인 단체의 &apos;휠체어로 지하철 타기&apos; 시위로 인하여 열차 운행이 상당시간 지연되고 있습니다. 열차 이용에 불편을 드려 대단히 죄송합니다. - 서울교통공사 종합관제단 02-10 15:29:07 02-10 15:33:15,N,,,,4호선,"0409, 0410, 0411, 0412, 0413, 0414, 0415, 0416, 0417, 0418, 0419, 0420, 0421, 0422, 0423, 0424, 0425, 0426"
2021-02-10T15:52:18,20210210,5,단순지연,장애인 단체 시위로 인한 4호선 열차지연,현재 4호선 당고개역에서 서울역까지 장애인 단체의 &apos;휠체어로 지하철 타기&apos; 시위로 인하여 열차 운행이 상당시간 지연되고 있습니다. 열차 이용에 불편을 드려 대단히 죄송합니다. - 서울교통공사 종합관제단 02-10 15:49:07,N,,,,4호선,"0409, 0410, 0411, 0412, 0413, 0414, 0415, 0416, 0417, 0418, 0419, 0420, 0421, 0422, 0423, 0424, 0425, 0426"
2021-02-10T17:02:40,20210210,5,단순지연,장애인 단체 시위로 인한 4호선 전구간 열차지연,현재 4호선 당고개역에서 서울역간 장애인 단체의 &apos;휠체어로 지하철 타기&apos; 시위로 인하여 4호선 전구간 열차가 상당시간 지연운행 되고 있습니다. 열차 이용에 불편을 드려 대단히 죄송합니다. - 서울교통공사 종합관제단 02-10 16:59:29,N,,,,4호선,전구간
2021-02-10T17:56:11,20210210,6,기타,장애인 단체 시위 종료,"4호선 당고개역에서 서울역간 장애인 단체의 &apos;휠체어로 지하철 타기&apos; 시위는 17:48 부로 종료 되었으며, 시위 여파로 인하여 4호선 전구간 열차가 지연운행 되고 있습니다. 열차 이용에 불편을 드려 대단히 죄송합니다. - 서울교통공사 종합관제단 02-10 17:53:00",N,,,,4호선,전구간
